Timestamp,PhotoPath
2024-12-10T12:14:18.685183,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121418.jpg
2024-12-10T12:14:19.857789,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121419.jpg
2024-12-10T12:14:20.859984,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121420.jpg
2024-12-10T12:14:21.862181,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121421.jpg
2024-12-10T12:14:22.864284,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121422.jpg
2024-12-10T12:14:23.867307,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121423.jpg
2024-12-10T12:14:24.870239,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121424.jpg
2024-12-10T12:14:25.873305,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121425.jpg
2024-12-10T12:14:26.875443,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121426.jpg
2024-12-10T12:14:27.878709,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121427.jpg
2024-12-10T12:14:28.880762,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121428.jpg
2024-12-10T12:14:29.882916,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121429.jpg
2024-12-10T12:14:30.885756,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121430.jpg
2024-12-10T12:14:31.887999,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121431.jpg
2024-12-10T12:14:32.890262,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121432.jpg
2024-12-10T12:14:33.892392,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121433.jpg
2024-12-10T12:14:34.894604,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121434.jpg
2024-12-10T12:14:35.896934,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121435.jpg
2024-12-10T12:14:36.899230,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121436.jpg
2024-12-10T12:14:37.901695,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121437.jpg
2024-12-10T12:14:38.903899,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121438.jpg
2024-12-10T12:14:39.905930,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121439.jpg
2024-12-10T12:14:40.908003,/home/c106a/Desktop/c106a-project/captured_photos/photo_20241210_121440.jpg
